Tecnologia;Nombre_Equipo;Cod_SCL;Prepago_Con_Iva;Contado_Con_IVA;Cuotas_3_Con_Iva;Cuotas_6_Con_Iva;Cuotas_12_Con_Iva;Cuotas_24_Con_Iva;;;;;;;;;;;;;
2G;Nokia C3;815;253900;217900;217900;217900;217900;ND;;;;;;;;;;;;;
2G;Nokia C3-00 Negro;972;253900;217900;217900;217900;217900;ND;;;;;;;;;;;;;
2G;Nokia X2-00;839;342900;306900;306900;306900;306900;330900;;;;;;;;;;;;;
2G;Nokia X2-01;875;299900;263900;263900;263900;263900;ND;;;;;;;;;;;;;
2G;Planta Ericsson G36;698;ND;301900;301900;301900;301900;325900;;;;;;;;;;;;;
2G;Samsung C425 Clic;350;173900;137900;137900;137900;137900;ND;;;;;;;;;;;;;
2G;Samsung CH@T 335 S3350;916;70900;34900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Samsung Chat 222;1002;166900;130900;130900;130900;130900;ND;;;;;;;;;;;;;
2G;Samsung E1086 KeyStone FM;781;95900;59900;59900;59900;ND;ND;;;;;;;;;;;;;
2G;Samsung E1200;1051;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Samsung GT-E2230 Nari Single Sim;962;137900;101900;101900;101900;101900;ND;;;;;;;;;;;;;
2G;Samsung SGH-C165;446;124900;88900;88900;88900;ND;ND;;;;;;;;;;;;;
2G;Sony Ericsson R306 Negro;537;239900;203900;203900;203900;203900;ND;;;;;;;;;;;;;
2G;Sony Ericsson T303 Negro;542;210900;174900;174900;174900;174900;ND;;;;;;;;;;;;;
2G;Sony Ericsson T303 Silver;536;210900;174900;174900;174900;174900;ND;;;;;;;;;;;;;
2G;Sony Ericsson TXT Pro Negro;1005;277900;241900;241900;241900;241900;ND;;;;;;;;;;;;;
2G;Sony Ericsson W205 Tessa Negro;738;268900;232900;232900;232900;232900;ND;;;;;;;;;;;;;
2G;Sony Ericsson W205 Tessa Rosado;739;268900;232900;232900;232900;232900;ND;;;;;;;;;;;;;
2G;Sony Ericsson W302;564;347900;311900;311900;311900;311900;336900;;;;;;;;;;;;;
3G;Alcatel 2052;1522;133900;97900;100900;103900;ND;ND;;;;;;;;;;;;;
3G;Alcatel 3075;1330;174900;125900;129900;132900;140900;ND;;;;;;;;;;;;;
3G;Alcatel Idol Mini Plateado;1360;345900;309900;327900;327900;327900;330900;;;;;;;;;;;;;
3G;Alcatel OT 4030 Spop;1290;145900;109900;203900;203900;203900;ND;;;;;;;;;;;;;
3G;Alcatel OT 4030 Spop Blanco;1316;145900;109900;203900;203900;203900;ND;;;;;;;;;;;;;
3G;Alcatel OT- 870;1055;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Alcatel OT Fire 4012 ;1146;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Alcatel OT Fire 4012 Camiseta Selección Colombia;1322;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Alcatel OT Fire 4012 Naranja;1192;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Alcatel OT Fire 4012 Naranja Camiseta Selección Colombia;1323;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Alcatel OT-900A;1019;228900;192900;192900;192900;192900;ND;;;;;;;;;;;;;
3G;Alcatel OT-903;1085;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;"Alcatel Pixi 3 (4,0"")";1533;185900;149900;153900;158900;167900;ND;;;;;;;;;;;;;
3G;"Alcatel Pixi 3 (4,0"") Blanco";1534;185900;149900;153900;158900;167900;ND;;;;;;;;;;;;;
3G;"Alcatel Pop 3 5""";1613;446900;327900;337900;337900;340900;340900;;;;;;;;;;;;;
3G;"Alcatel Pop 3 5"" Blanco";1614;446900;327900;337900;337900;340900;340900;;;;;;;;;;;;;
3G;Alcatel Pop C1 Blanco;1398;165900;129900;133900;137900;144900;ND;;;;;;;;;;;;;
3G;Alcatel Pop C1 Negro;1397;165900;129900;133900;137900;144900;ND;;;;;;;;;;;;;
3G;BlackBerry 9300 Gris;819;514900;478900;478900;478900;478900;516900;;;;;;;;;;;;;
3G;BlackBerry 9320;1044;155900;119900;122900;126900;133900;ND;;;;;;;;;;;;;
3G;BlackBerry 9360;970;643900;607900;607900;607900;607900;656900;;;;;;;;;;;;;
3G;BlackBerry 9720;1169;423900;387900;431900;431900;431900;465900;;;;;;;;;;;;;
3G;BlackBerry 9720 Camiseta Selección Colombia;1327;423900;387900;431900;431900;431900;465900;;;;;;;;;;;;;
3G;BlackBerry 9790 ;1042;799900;763900;763900;763900;763900;824900;;;;;;;;;;;;;
3G;BlackBerry 9900;989;1220900;1184900;1184900;1184900;1184900;1279900;;;;;;;;;;;;;
3G;BlackBerry Torch 9800 ;828;1206900;1170900;1170900;1170900;1170900;1182900;;;;;;;;;;;;;
3G;BlackBerry Z10;1121;335900;299900;299900;299900;299900;323900;;;;;;;;;;;;;
3G;Celufijo Huawei ETS-3125i;1049;ND;60900;60900;60900;ND;ND;;;;;;;;;;;;;
3G;Huawei Ascend P6;1165;495900;459900;689900;689900;689900;744900;;;;;;;;;;;;;
3G;Huawei Ascend P6 Negro;1205;495900;459900;689900;689900;689900;744900;;;;;;;;;;;;;
3G;Huawei Ascend Y101;1057;209900;173900;173900;173900;173900;ND;;;;;;;;;;;;;
3G;Huawei G510;1149;365900;329900;329900;329900;329900;355900;;;;;;;;;;;;;
3G;Huawei G510 Negro;1206;365900;329900;329900;329900;329900;355900;;;;;;;;;;;;;
3G;Huawei U6150-5;1021;210900;174900;174900;174900;174900;ND;;;;;;;;;;;;;
3G;Huawei U8350 Boulder;977;308900;272900;272900;272900;272900;ND;;;;;;;;;;;;;
3G;Huawei Y 220;1295;105900;69900;69900;69900;ND;ND;;;;;;;;;;;;;
3G;Huawei Y 220 Blanco;1315;105900;69900;69900;69900;ND;ND;;;;;;;;;;;;;
3G;Huawei Y3 DS;1611;263900;223900;230900;236900;250900;ND;;;;;;;;;;;;;
3G;Huawei Y3 DS Blanco;1612;263900;223900;230900;236900;250900;ND;;;;;;;;;;;;;
3G;Huawei Y330 Fizz;1344;165900;129900;133900;137900;142900;ND;;;;;;;;;;;;;
3G;Huawei Y330 Fizz Blanco;1345;165900;129900;133900;137900;142900;ND;;;;;;;;;;;;;
3G;Iphone 4 de 16 GB;823;1394900;1358900;1358900;1358900;1358900;1467900;;;;;;;;;;;;;
3G;Iphone 4 de 16 GB White;824;1394900;1358900;1358900;1358900;1358900;1467900;;;;;;;;;;;;;
3G;Iphone 4 de 32 GB Black;825;1609900;1573900;1573900;1573900;1573900;1699900;;;;;;;;;;;;;
3G;Iphone 4S 16 GB Negro;1012;1499900;1463900;1463900;1463900;1463900;1580900;;;;;;;;;;;;;
3G;Iphone 4S 32 GB Negro;1013;1731900;1695900;1695900;1695900;1695900;1831900;;;;;;;;;;;;;
3G;Iphone 4S 64 GB Negro;1015;1943900;1907900;1907900;1907900;1907900;2060900;;;;;;;;;;;;;
3G;LG E400 Optimus L3;1058;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;LG L3 II;1202;232900;196900;196900;196900;196900;ND;;;;;;;;;;;;;
3G;LG L40;1416;155900;119900;134900;134900;134900;ND;;;;;;;;;;;;;
3G;LG L40 + DVD;1454;155900;119900;134900;134900;134900;ND;;;;;;;;;;;;;
3G;LG L40 Blanco;1417;155900;119900;134900;134900;134900;ND;;;;;;;;;;;;;
3G;LG L5 II Blanco Camiseta Selección Colombia;1319;285900;249900;249900;249900;249900;ND;;;;;;;;;;;;;
3G;LG L5 II Camiseta Selección Colombia;1318;285900;249900;249900;249900;249900;ND;;;;;;;;;;;;;
3G;LG L7 II;1296;399900;363900;363900;363900;363900;392900;;;;;;;;;;;;;
3G;LG Optimus L5 II;1166;285900;249900;249900;249900;249900;ND;;;;;;;;;;;;;
3G;LG Optimus L5 II Blanco;1299;285900;249900;249900;249900;249900;ND;;;;;;;;;;;;;
3G;LG P350 Optimus One Me/Pecan;938;416900;380900;380900;380900;380900;410900;;;;;;;;;;;;;
