Tecnologia;Nombre_Equipo;Cod_SCL;Prepago_Con_Iva;Contado_Con_IVA;Cuotas_3_Con_Iva;Cuotas_6_Con_Iva;Cuotas_12_Con_Iva;Cuotas_24_Con_Iva;;;;;;;;;;;;;
4G;Huawei G 620 S LTE;1508;335900;299900;502900;502900;502900;502900;;;;;;;;;;;;;
4G;Huawei G 620 S LTE Blanco;1603;335900;299900;502900;502900;502900;502900;;;;;;;;;;;;;
4G;Huawei G Play DS LTE;1621;601900;549900;565900;582900;666900;681900;;;;;;;;;;;;;
4G;Huawei G Play DS LTE Blanco;1622;601900;549900;565900;582900;666900;681900;;;;;;;;;;;;;
4G;Huawei G Play DS LTE Blanco Camiseta;1740;ND;549900;565900;582900;666900;681900;;;;;;;;;;;;;
4G;Huawei G Play DS LTE Camiseta;1739;ND;549900;565900;582900;666900;681900;;;;;;;;;;;;;
4G;Huawei G526 LTE;1385;413900;377900;377900;377900;377900;381900;;;;;;;;;;;;;
4G;Huawei G526 LTE Blanco;1386;413900;377900;377900;377900;377900;381900;;;;;;;;;;;;;
4G;Huawei G526 LTE Camiseta Selección Colombia;1250;413900;377900;377900;377900;377900;381900;;;;;;;;;;;;;
4G;Huawei G7 LTE ;1574;635900;599900;614900;614900;614900;614900;;;;;;;;;;;;;
4G;Huawei G7 LTE  Blanco;1575;635900;599900;614900;614900;614900;614900;;;;;;;;;;;;;
4G;Huawei G8 LTE;1691;1213900;1162900;1197900;1232900;1301900;1422900;;;;;;;;;;;;;
4G;Huawei G8 LTE Champagne;1692;1213900;1162900;1197900;1232900;1301900;1422900;;;;;;;;;;;;;
4G;Huawei Mate 7 LTE;1487;1415900;1379900;1420900;1505900;1622900;1622900;;;;;;;;;;;;;
4G;Huawei Mate 7 LTE Blanco;1488;1415900;1379900;1420900;1505900;1622900;1622900;;;;;;;;;;;;;
4G;Huawei Mate 8 LTE ;1709;1853900;1797900;1851900;1905900;2013900;2228900;;;;;;;;;;;;;
4G;Huawei Mate 8 LTE Champagne;1710;1853900;1797900;1851900;1905900;2013900;2228900;;;;;;;;;;;;;
4G;Huawei Mate S LTE ;1674;1564900;1511900;1556900;1602900;1692900;1874900;;;;;;;;;;;;;
4G;Huawei Mate S LTE Champagne;1675;1564900;1511900;1556900;1602900;1692900;1874900;;;;;;;;;;;;;
4G;Huawei P8 Lite LTE;1687;756900;712900;733900;743900;743900;743900;;;;;;;;;;;;;
4G;Huawei P8 Lite LTE Blanco;1688;756900;712900;733900;743900;743900;743900;;;;;;;;;;;;;
4G;Huawei P8 Lite LTE Blanco Camiseta;1747;ND;712900;733900;743900;743900;743900;;;;;;;;;;;;;
4G;Huawei P8 Lite LTE Camiseta;1746;ND;712900;733900;743900;743900;743900;;;;;;;;;;;;;
4G;Huawei P8 LTE;1593;1096900;1060900;1097900;1135900;1210900;1359900;;;;;;;;;;;;;
4G;Huawei P8 LTE Champange;1594;1096900;1060900;1097900;1135900;1210900;1359900;;;;;;;;;;;;;
4G;Huawei Y5 DS LTE;1619;391900;355900;366900;376900;397900;403900;;;;;;;;;;;;;
4G;Huawei Y5 DS LTE Blanco;1620;391900;355900;366900;376900;397900;403900;;;;;;;;;;;;;
4G;Huawei Y5 II Blanco LTE;1755;395900;359900;370900;380900;402900;445900;;;;;;;;;;;;;
4G;Huawei Y5 II LTE;1754;395900;359900;370900;380900;402900;445900;;;;;;;;;;;;;
4G;Huawei Y550 LTE;1463;365900;329900;339900;349900;368900;368900;;;;;;;;;;;;;
4G;Huawei Y550 LTE Blanco;1464;365900;329900;339900;349900;368900;368900;;;;;;;;;;;;;
4G;Huawei Y550 LTE Blanco Camiseta;1550;365900;329900;339900;349900;368900;368900;;;;;;;;;;;;;
4G;Huawei Y550 LTE Camiseta;1549;365900;329900;339900;349900;368900;368900;;;;;;;;;;;;;
4G;Huawei Y635 LTE;1586;420900;379900;390900;402900;424900;445900;;;;;;;;;;;;;
4G;Huawei Y635 LTE Blanco;1587;420900;379900;390900;402900;424900;445900;;;;;;;;;;;;;
4G;Huawei Y635 LTE Blanco Campaña Navidad;1681;420900;379900;390900;402900;424900;445900;;;;;;;;;;;;;
4G;Huawei Y635 LTE Campaña Navidad;1680;420900;379900;390900;402900;424900;445900;;;;;;;;;;;;;
4G;Iphone 5 LTE 16GB Blanco;1095;1272900;1236900;1236900;1236900;1236900;1421900;;;;;;;;;;;;;
4G;Iphone 5 LTE 16GB Negro;1094;1272900;1236900;1236900;1236900;1236900;1421900;;;;;;;;;;;;;
4G;Iphone 5C LTE 16GB Amarillo;1271;1270900;1234900;1234900;1234900;1234900;1419900;;;;;;;;;;;;;
4G;Iphone 5C LTE 16GB Azul;1272;1270900;1234900;1234900;1234900;1234900;1419900;;;;;;;;;;;;;
4G;Iphone 5C LTE 16GB Plata;1270;1270900;1234900;1234900;1234900;1234900;1419900;;;;;;;;;;;;;
4G;Iphone 5C LTE 16GB Rosado;1273;1270900;1234900;1234900;1234900;1234900;1419900;;;;;;;;;;;;;
4G;Iphone 5C LTE 16GB Verde;1274;1270900;1234900;1234900;1234900;1234900;1419900;;;;;;;;;;;;;
4G;Iphone 5C LTE 32GB Amarillo;1276;1595900;1559900;1704900;1704900;1704900;1721900;;;;;;;;;;;;;
4G;Iphone 5C LTE 32GB Azul;1277;1595900;1559900;1704900;1704900;1704900;1721900;;;;;;;;;;;;;
4G;Iphone 5C LTE 32GB Plata;1275;1595900;1559900;1704900;1704900;1704900;1721900;;;;;;;;;;;;;
4G;Iphone 5C LTE 32GB Rosado;1278;1595900;1559900;1704900;1704900;1704900;1721900;;;;;;;;;;;;;
4G;Iphone 5C LTE 32GB Verde;1279;1595900;1559900;1704900;1704900;1704900;1721900;;;;;;;;;;;;;
4G;Iphone 5S LTE 16GB Gris Espacial;1261;1097900;1061900;1088900;1088900;1088900;1088900;;;;;;;;;;;;;
4G;Iphone 5S LTE 16GB Oro;1263;1097900;1061900;1088900;1088900;1088900;1088900;;;;;;;;;;;;;
4G;Iphone 5S LTE 16GB Plata;1262;1097900;1061900;1088900;1088900;1088900;1088900;;;;;;;;;;;;;
4G;Iphone 5S LTE 32GB Gris Espacial;1264;1797900;1761900;2042900;2042900;2042900;2062900;;;;;;;;;;;;;
4G;Iphone 5S LTE 32GB Oro;1266;1797900;1761900;2042900;2042900;2042900;2062900;;;;;;;;;;;;;
4G;Iphone 5S LTE 32GB Plata;1265;1797900;1761900;2042900;2042900;2042900;2062900;;;;;;;;;;;;;
4G;Iphone 5S LTE 64 GB  Gris Espacial;1267;2035900;1999900;1999900;1999900;1999900;2299900;;;;;;;;;;;;;
4G;Iphone 6 128GB Gris Espacial;1495;2548900;2512900;2638900;2638900;2638900;2664900;;;;;;;;;;;;;
4G;Iphone 6 128GB Oro;1497;2548900;2512900;2638900;2638900;2638900;2664900;;;;;;;;;;;;;
4G;Iphone 6 128GB Plata;1496;2548900;2512900;2638900;2638900;2638900;2664900;;;;;;;;;;;;;
4G;Iphone 6 16GB Gris Espacial;1489;2010900;1974900;2171900;2171900;2171900;2214900;;;;;;;;;;;;;
4G;Iphone 6 16GB Gris Espacial Oro;1491;2010900;1974900;2171900;2171900;2171900;2214900;;;;;;;;;;;;;
4G;Iphone 6 16GB Gris Espacial Plata;1490;2010900;1974900;2171900;2171900;2171900;2214900;;;;;;;;;;;;;
4G;Iphone 6 64GB Gris Espacial;1492;2395900;2359900;2448900;2448900;2448900;2448900;;;;;;;;;;;;;
4G;Iphone 6 64GB Oro;1494;2395900;2359900;2448900;2448900;2448900;2448900;;;;;;;;;;;;;
4G;Iphone 6 64GB Plata;1493;2395900;2359900;2448900;2448900;2448900;2448900;;;;;;;;;;;;;
4G;Iphone 6 Plus 128GB Gris Espacial;1504;2862900;2826900;3165900;3165900;3165900;3419900;;;;;;;;;;;;;
4G;Iphone 6 Plus 128GB Oro;1506;2862900;2826900;3165900;3165900;3165900;3419900;;;;;;;;;;;;;
4G;Iphone 6 Plus 128GB Plata;1505;2862900;2826900;3165900;3165900;3165900;3419900;;;;;;;;;;;;;
4G;Iphone 6 Plus 16GB Gris Espacial;1498;2395900;2359900;2448900;2448900;2448900;2448900;;;;;;;;;;;;;
4G;Iphone 6 Plus 16GB Oro;1500;2395900;2359900;2448900;2448900;2448900;2448900;;;;;;;;;;;;;
4G;Iphone 6 Plus 16GB Plata;1499;2395900;2359900;2448900;2448900;2448900;2448900;;;;;;;;;;;;;
4G;Iphone 6 Plus 64GB Gris Espacial;1501;2644900;2608900;2608900;2608900;2608900;2608900;;;;;;;;;;;;;
4G;Iphone 6 Plus 64GB Oro;1503;2644900;2608900;2608900;2608900;2608900;2608900;;;;;;;;;;;;;
4G;Iphone 6 Plus 64GB Plata;1502;2644900;2608900;2608900;2608900;2608900;2608900;;;;;;;;;;;;;
4G;Iphone 6S 128 GB LTE Dorado;1654;3351900;3315900;3315900;3315900;3315900;3315900;;;;;;;;;;;;;
4G;Iphone 6S 128 GB LTE Gris Espacial;1652;3351900;3315900;3315900;3315900;3315900;3315900;;;;;;;;;;;;;
4G;Iphone 6S 128 GB LTE Plata;1653;3351900;3315900;3315900;3315900;3315900;3315900;;;;;;;;;;;;;
4G;Iphone 6S 128 GB LTE Rosado;1655;3351900;3315900;3315900;3315900;3315900;3315900;;;;;;;;;;;;;
4G;Iphone 6S 16GB LTE Gris Espacial;1644;2464900;2428900;2428900;2428900;2428900;2428900;;;;;;;;;;;;;
4G;Iphone 6S 16GB LTE Oro;1646;2464900;2428900;2428900;2428900;2428900;2428900;;;;;;;;;;;;;
4G;Iphone 6S 16GB LTE Plata;1645;2464900;2428900;2428900;2428900;2428900;2428900;;;;;;;;;;;;;
4G;Iphone 6S 16GB LTE Rosado;1647;2464900;2428900;2428900;2428900;2428900;2428900;;;;;;;;;;;;;
4G;Iphone 6S 64GB LTE Gris Espacial;1648;2925900;2889900;2889900;2889900;2889900;2889900;;;;;;;;;;;;;
4G;Iphone 6S 64GB LTE Oro;1650;2925900;2889900;2889900;2889900;2889900;2889900;;;;;;;;;;;;;
4G;Iphone 6S 64GB LTE Plata;1649;2925900;2889900;2889900;2889900;2889900;2889900;;;;;;;;;;;;;
4G;Iphone 6S 64GB LTE Rosado;1651;2925900;2889900;2889900;2889900;2889900;2889900;;;;;;;;;;;;;
4G;Iphone 6S Plus 128GB LTE Dorado;1666;3778900;3742900;3742900;3742900;3742900;3742900;;;;;;;;;;;;;
4G;Iphone 6S Plus 128GB LTE Gris Espacial;1664;3778900;3742900;3742900;3742900;3742900;3742900;;;;;;;;;;;;;
4G;Iphone 6S Plus 128GB LTE Plata;1665;3778900;3742900;3742900;3742900;3742900;3742900;;;;;;;;;;;;;
4G;Iphone 6S Plus 128GB LTE Rosado;1667;3778900;3742900;3742900;3742900;3742900;3742900;;;;;;;;;;;;;
4G;Iphone 6S Plus 16GB LTE Gris Espacial;1656;2925900;2889900;2889900;2889900;2889900;2889900;;;;;;;;;;;;;
4G;Iphone 6S Plus 16GB LTE Oro;1658;2925900;2889900;2889900;2889900;2889900;2889900;;;;;;;;;;;;;
4G;Iphone 6S Plus 16GB LTE Plata;1657;2925900;2889900;2889900;2889900;2889900;2889900;;;;;;;;;;;;;
4G;Iphone 6S Plus 16GB LTE Rosado;1659;2925900;2889900;2889900;2889900;2889900;2889900;;;;;;;;;;;;;
4G;Iphone 6S Plus 64GB LTE Gris Espacial;1660;3351900;3315900;3315900;3315900;3315900;3315900;;;;;;;;;;;;;
4G;Iphone 6S Plus 64GB LTE Oro;1662;3351900;3315900;3315900;3315900;3315900;3315900;;;;;;;;;;;;;
4G;Iphone 6S Plus 64GB LTE Plata;1661;3351900;3315900;3315900;3315900;3315900;3315900;;;;;;;;;;;;;
4G;Iphone 6S Plus 64GB LTE Rosado;1663;3351900;3315900;3315900;3315900;3315900;3315900;;;;;;;;;;;;;
4G;Iphone SE Gris Espacial 16 GB;1782;1633900;1597900;1645900;1693900;1789900;1804900;;;;;;;;;;;;;
4G;Iphone SE Oro 16 GB;1786;1633900;1597900;1645900;1693900;1789900;1804900;;;;;;;;;;;;;
4G;Iphone SE Plata 16 GB;1783;1633900;1597900;1645900;1693900;1789900;1804900;;;;;;;;;;;;;
4G;Iphone SE Rosado 16 GB;1787;1633900;1597900;1645900;1693900;1789900;1804900;;;;;;;;;;;;;
4G;Lenovo Angus LTE A2010;1642;368900;249900;256900;264900;279900;ND;;;;;;;;;;;;;
4G;Lenovo Vibe K5 LTE ;1715;634900;598900;616900;634900;671900;754900;;;;;;;;;;;;;
4G;Lenovo Vibe K5 LTE Blanco;1716;634900;598900;616900;634900;671900;754900;;;;;;;;;;;;;
4G;LG C70 LTE;1537;454900;418900;430900;430900;430900;430900;;;;;;;;;;;;;
4G;LG G2 LTE;1253;745900;709900;989900;989900;989900;1079900;;;;;;;;;;;;;
4G;LG G3 Beat LTE;1509;455900;419900;431900;444900;469900;520900;;;;;;;;;;;;;
4G;LG G3 LTE;1430;593900;557900;574900;590900;624900;691900;;;;;;;;;;;;;
4G;LG G3 LTE Blanco;1447;593900;557900;574900;590900;624900;691900;;;;;;;;;;;;;
4G;LG G4 Beat LTE;1597;679900;643900;663900;663900;663900;663900;;;;;;;;;;;;;
4G;LG G4 LTE;1595;1135900;1078900;1110900;1143900;1207900;1337900;;;;;;;;;;;;;
4G;LG G5 Blanco LTE;1793;2098900;2040900;2101900;2162900;2285900;2530900;;;;;;;;;;;;;
4G;LG G5 LTE;1792;2098900;2040900;2101900;2162900;2285900;2530900;;;;;;;;;;;;;
4G;LG K8 Blanco LTE;1757;546900;510900;522900;522900;522900;522900;;;;;;;;;;;;;
4G;LG K8 LTE;1756;546900;510900;522900;522900;522900;522900;;;;;;;;;;;;;
4G;LG XCAM Blanco LTE;1775;1082900;1046900;1077900;1109900;1172900;1297900;;;;;;;;;;;;;
4G;LG XCAM LTE;1774;1082900;1046900;1077900;1109900;1172900;1297900;;;;;;;;;;;;;
4G;Lumia 640 DS LTE;1555;224900;188900;194900;199900;211900;ND;;;;;;;;;;;;;
4G;Lumia 640 XL DS LTE;1556;224900;188900;194900;199900;211900;ND;;;;;;;;;;;;;
4G;Lumia 830 LTE Camiseta;1553;530900;494900;519900;519900;519900;524900;;;;;;;;;;;;;
4G;Modem Mifi Huawei E5377;1484;330900;294900;329900;329900;329900;ND;;;;;;;;;;;;;
4G;Modem Mifi Huawei E5776 LTE;1282;330900;294900;329900;329900;329900;ND;;;;;;;;;;;;;
4G;Modem Mifi ZTE MF90 LTE;1283;330900;294900;329900;329900;329900;ND;;;;;;;;;;;;;
4G;Modem Mifi ZTE MF910 LTE;1530;330900;294900;329900;329900;329900;ND;;;;;;;;;;;;;
4G;Modem Router ZTE MF253 LTE;1285;ND;188930;194900;199900;211900;ND;;;;;;;;;;;;;
4G;Moto G 3 Generación LTE;1588;625900;506900;521900;536900;567900;628900;;;;;;;;;;;;;
4G;Moto G 3 Generación LTE Camiseta;1743;ND;506900;521900;536900;567900;628900;;;;;;;;;;;;;
4G;Moto G 3 Generación LTE Campaña Navidad;1684;625900;506900;521900;536900;567900;628900;;;;;;;;;;;;;
4G;Moto G 3 Generación Turbo LTE;1668;732900;688900;709900;729900;780900;863900;;;;;;;;;;;;;
4G;Moto G 4A Generación Blanco LTE;1765;921900;875900;901900;927900;980900;1085900;;;;;;;;;;;;;
4G;Moto G 4A Generación LTE;1764;921900;875900;901900;927900;980900;1085900;;;;;;;;;;;;;
4G;Moto G 4A Generación Plus Blanco LTE;1767;1118900;1069900;1101900;1133900;1197900;1326900;;;;;;;;;;;;;
4G;Moto G 4A Generación Plus LTE;1766;1118900;1069900;1101900;1133900;1197900;1326900;;;;;;;;;;;;;
4G;Moto G LTE;1426;435900;399900;411900;423900;445900;449900;;;;;;;;;;;;;
4G;Moto X Play LTE;1592;1200900;1164900;1199900;1234900;1304900;1443900;;;;;;;;;;;;;
4G;Motorola X LTE;1208;834900;798900;904900;904900;904900;904900;;;;;;;;;;;;;
4G;Nokia Lumia 1320 LTE;1368;252900;216900;222900;229900;242900;ND;;;;;;;;;;;;;
4G;Nokia Lumia 625 LTE;1292;89900;53900;53900;53900;ND;ND;;;;;;;;;;;;;
4G;Nokia Lumia 625 LTE Blanco;1304;89900;53900;53900;53900;ND;ND;;;;;;;;;;;;;
4G;Nokia Lumia 625 LTE Verde;1305;89900;53900;53900;53900;ND;ND;;;;;;;;;;;;;
4G;Nokia Lumia 635 LTE;1334;135900;99900;104900;104900;104900;ND;;;;;;;;;;;;;
4G;Nokia Lumia 830 LTE;1511;530900;494900;519900;519900;519900;524900;;;;;;;;;;;;;
4G;Nokia Lumia 920 LTE;1128;230900;194900;204900;204900;204900;ND;;;;;;;;;;;;;
4G;Nokia Lumia 925 LTE;1168;533900;497900;522900;522900;522900;527900;;;;;;;;;;;;;
4G;Nokia Lumia 925 LTE Blanco;1306;533900;497900;522900;522900;522900;527900;;;;;;;;;;;;;
4G;Nuevo Moto E LTE;1538;402900;366900;377900;388900;410900;446900;;;;;;;;;;;;;
4G;Nuevo Moto X LTE;1481;975900;939900;1052900;1052900;1052900;1136900;;;;;;;;;;;;;
4G;Nuevo Moto X Madera Nogal LTE;1482;1035900;999900;1120900;1120900;1120900;1210900;;;;;;;;;;;;;
4G;Samsung  S7 Edge LTE ;1721;2732900;2690950;2749900;2829900;2903900;2903900;;;;;;;;;;;;;
4G;Samsung  S7 Edge LTE Blanco;1722;2732900;2690950;2749900;2829900;2903900;2903900;;;;;;;;;;;;;
4G;Samsung  S7 Edge LTE Dorado;1738;2732900;2690950;2749900;2829900;2903900;2903900;;;;;;;;;;;;;
4G;Samsung  S7 Edge LTE Plata;1737;2732900;2690950;2749900;2829900;2903900;2903900;;;;;;;;;;;;;
4G;Samsung  S7 LTE ;1719;2421900;2361950;2432900;2503900;2596900;2596900;;;;;;;;;;;;;
4G;Samsung  S7 LTE Blanco;1720;2421900;2361950;2432900;2503900;2596900;2596900;;;;;;;;;;;;;
4G;Samsung  S7 LTE Dorado;1736;2421900;2361950;2432900;2503900;2596900;2596900;;;;;;;;;;;;;
4G;Samsung  S7 LTE Plata;1735;2421900;2361950;2432900;2503900;2596900;2596900;;;;;;;;;;;;;
4G;Samsung Core Prime LTE Blanco Camiseta;1552;330900;294900;303900;312900;329900;ND;;;;;;;;;;;;;
4G;Samsung Core Prime LTE Camiseta;1551;330900;294900;303900;312900;329900;ND;;;;;;;;;;;;;
4G;Samsung Galaxy  Note 5 LTE;1640;2504900;2444900;2517900;2591900;2737900;2977900;;;;;;;;;;;;;
4G;Samsung Galaxy  Note 5 LTE Plateada;1641;2504900;2444900;2517900;2591900;2737900;2977900;;;;;;;;;;;;;
4G;Samsung Galaxy  S6 Edge Plus Dorado;1583;2467900;2407900;2479900;2551900;2723900;3015900;;;;;;;;;;;;;
4G;Samsung Galaxy  S6 Edge Plus Negro;1582;2467900;2407900;2479900;2551900;2723900;3015900;;;;;;;;;;;;;
4G;Samsung Galaxy A3 2016 LTE ;1701;973900;937900;966900;966900;966900;966900;;;;;;;;;;;;;
4G;Samsung Galaxy A3 2016 LTE Dorado;1702;973900;937900;966900;966900;966900;966900;;;;;;;;;;;;;
4G;Samsung Galaxy A3 LTE;1514;595900;559900;559900;559900;559900;559900;;;;;;;;;;;;;
4G;Samsung Galaxy A3 LTE Blanco;1515;595900;559900;559900;559900;559900;559900;;;;;;;;;;;;;
4G;Samsung Galaxy A5 2016 LTE ;1703;1447900;1393900;1435900;1477900;1560900;1727900;;;;;;;;;;;;;
4G;Samsung Galaxy A5 2016 LTE Dorado;1704;1447900;1393900;1435900;1477900;1560900;1727900;;;;;;;;;;;;;
4G;Samsung Galaxy A5 LTE;1516;865900;829900;854900;879900;882900;882900;;;;;;;;;;;;;
4G;Samsung Galaxy A5 LTE Blanco;1517;865900;829900;854900;879900;882900;882900;;;;;;;;;;;;;
4G;Samsung Galaxy A7 2016 LTE ;1705;1383900;1347900;1387900;1428900;1611900;1611900;;;;;;;;;;;;;
4G;Samsung Galaxy A7 2016 LTE Dorado;1706;1383900;1347900;1387900;1428900;1611900;1611900;;;;;;;;;;;;;
4G;Samsung Galaxy Ace 3 Blanco LTE;1218;285900;249900;256900;264900;279900;ND;;;;;;;;;;;;;
4G;Samsung Galaxy Ace 3 LTE;1217;285900;249900;256900;264900;279900;ND;;;;;;;;;;;;;
4G;Samsung Galaxy Ace 4 LTE ;1424;297900;261900;269900;277900;292900;ND;;;;;;;;;;;;;
4G;Samsung Galaxy Ace 4 LTE Blanco;1425;297900;261900;269900;277900;292900;ND;;;;;;;;;;;;;
4G;Samsung Galaxy Alpha Blanco LTE;1434;750900;706900;727900;748900;791900;876900;;;;;;;;;;;;;
4G;Samsung Galaxy Alpha LTE;1433;750900;706900;727900;748900;791900;876900;;;;;;;;;;;;;
4G;Samsung Galaxy Core Prime LTE;1512;330900;294900;303900;312900;329900;ND;;;;;;;;;;;;;
4G;Samsung Galaxy Core Prime LTE Blanco;1513;330900;294900;303900;312900;329900;ND;;;;;;;;;;;;;
4G;Samsung Galaxy Grand Prime Blanco LTE;1523;426900;390900;402900;413900;419900;419900;;;;;;;;;;;;;
4G;Samsung Galaxy Grand Prime LTE;1518;426900;390900;402900;413900;419900;419900;;;;;;;;;;;;;
4G;Samsung Galaxy J1 Ace DS LTE;1617;423900;381900;392900;404900;427900;470900;;;;;;;;;;;;;
4G;Samsung Galaxy J1 Ace DS LTE Blanco;1618;423900;381900;392900;404900;427900;470900;;;;;;;;;;;;;
4G;Samsung Galaxy J2 Blanco;1624;531900;488900;503900;517900;547900;605900;;;;;;;;;;;;;
4G;Samsung Galaxy J2 LTE;1623;531900;488900;503900;517900;547900;605900;;;;;;;;;;;;;
4G;Samsung Galaxy J2 LTE Blanco Campaña Navidad;1677;531900;488900;503900;517900;547900;605900;;;;;;;;;;;;;
4G;Samsung Galaxy J2 LTE Campaña Navidad;1676;531900;488900;503900;517900;547900;605900;;;;;;;;;;;;;
4G;Samsung Galaxy J3 2016 LTE;1699;570900;514900;529900;545900;576900;637900;;;;;;;;;;;;;
4G;Samsung Galaxy J3 2016 LTE Blanco;1700;570900;514900;529900;545900;576900;637900;;;;;;;;;;;;;
4G;Samsung Galaxy J5 Blanco LTE;1609;806900;687900;708900;728900;769900;771500;;;;;;;;;;;;;
4G;Samsung Galaxy J5 Blanco LTE Bono BTS;1729;806900;687900;708900;728900;769900;771500;;;;;;;;;;;;;
4G;Samsung Galaxy J5 LTE;1608;806900;687900;708900;728900;769900;771500;;;;;;;;;;;;;
4G;Samsung Galaxy J5 LTE Blanco Camiseta;1742;ND;687900;708900;728900;769900;771500;;;;;;;;;;;;;
4G;Samsung Galaxy J5 LTE Blanco Campaña Navidad;1682;806900;687900;708900;728900;769900;771500;;;;;;;;;;;;;
4G;Samsung Galaxy J5 LTE Bono BTS;1730;806900;687900;708900;728900;769900;771500;;;;;;;;;;;;;
4G;Samsung Galaxy J5 LTE Camiseta;1741;ND;687900;708900;728900;769900;771500;;;;;;;;;;;;;
4G;Samsung Galaxy J5 LTE Campaña Navidad;1683;806900;687900;708900;728900;769900;771500;;;;;;;;;;;;;
4G;Samsung Galaxy J7 LTE;1625;914900;878900;904900;904900;904900;904900;;;;;;;;;;;;;
4G;Samsung Galaxy J7 LTE Blanco;1626;914900;878900;904900;904900;904900;904900;;;;;;;;;;;;;
4G;Samsung Galaxy J7 LTE Blanco Camiseta;1749;ND;878900;904900;904900;904900;904900;;;;;;;;;;;;;
4G;Samsung Galaxy J7 LTE Camiseta;1748;ND;878900;904900;904900;904900;904900;;;;;;;;;;;;;
4G;Samsung Galaxy Note 3 LTE;1245;885900;849900;1605900;1605900;1605900;1799900;;;;;;;;;;;;;
4G;Samsung Galaxy Note 3 Neo LTE Blanco;1436;835900;799900;894900;894900;894900;966900;;;;;;;;;;;;;
4G;Samsung Galaxy Note 4 LTE;1479;1985900;1949900;2007900;2066900;2155900;2176900;;;;;;;;;;;;;
4G;Samsung Galaxy S4 LTE;1219;535900;499900;999900;999900;999900;1099900;;;;;;;;;;;;;
4G;Samsung Galaxy S4 LTE Blanco;1220;535900;499900;999900;999900;999900;1099900;;;;;;;;;;;;;
4G;Samsung Galaxy S4 Mini LTE;1223;495900;459900;464900;464900;464900;464900;;;;;;;;;;;;;
4G;Samsung Galaxy S4 Mini LTE Blanco;1224;495900;459900;464900;464900;464900;464900;;;;;;;;;;;;;
4G;Samsung Galaxy S5 LTE;1353;860900;814900;838900;863900;912900;1009900;;;;;;;;;;;;;
4G;Samsung Galaxy S5 LTE Azul;1355;860900;814900;838900;863900;912900;1009900;;;;;;;;;;;;;
4G;Samsung Galaxy S5 LTE Blanco;1354;860900;814900;838900;863900;912900;1009900;;;;;;;;;;;;;
4G;Samsung Galaxy S5 Mini Blanco LTE;1446;983900;947900;1061900;1061900;1061900;1072900;;;;;;;;;;;;;
4G;Samsung Galaxy S5 Mini LTE;1429;983900;947900;1061900;1061900;1061900;1072900;;;;;;;;;;;;;
4G;Samsung Galaxy S6 Blanco LTE;1544;1957900;1902900;1959900;2016900;2130900;2359900;;;;;;;;;;;;;
4G;Samsung Galaxy S6 Dorado LTE;1545;1957900;1902900;1959900;2016900;2130900;2359900;;;;;;;;;;;;;
4G;Samsung Galaxy S6 Edge Blanco LTE;1547;2255900;2197900;2263900;2329900;2461900;2724900;;;;;;;;;;;;;
4G;Samsung Galaxy S6 Edge Dorado LTE;1548;2255900;2197900;2263900;2329900;2461900;2724900;;;;;;;;;;;;;
4G;Samsung Galaxy S6 Edge Negro LTE;1546;2255900;2197900;2263900;2329900;2461900;2724900;;;;;;;;;;;;;
4G;Samsung Galaxy S6 Negro LTE;1543;1957900;1902900;1959900;2016900;2130900;2359900;;;;;;;;;;;;;
4G;Sony T2 Ultra LTE;1519;735900;699900;783900;783900;783900;846900;;;;;;;;;;;;;
4G;Sony Xperia C5 Ultra LTE;1604;1021900;985900;1014900;1044900;1103900;1222900;;;;;;;;;;;;;
4G;Sony Xperia E3 LTE;1465;395900;359900;370900;380900;402900;445900;;;;;;;;;;;;;
4G;Sony Xperia E4;1577;455900;419900;435900;444900;469900;520900;;;;;;;;;;;;;
4G;Sony Xperia E4G Blanco LTE;1540;444900;408900;420900;432900;448900;448900;;;;;;;;;;;;;
4G;Sony Xperia E4G LTE;1539;444900;408900;420900;432900;448900;448900;;;;;;;;;;;;;
4G;Sony Xperia M2 Aqua LTE;1431;445900;409900;421900;433900;440900;440900;;;;;;;;;;;;;
4G;Sony Xperia M2 Aqua LTE Blanco;1432;445900;409900;421900;433900;440900;440900;;;;;;;;;;;;;
4G;Sony Xperia M2 LTE;1361;525900;489900;489900;489900;489900;489900;;;;;;;;;;;;;
4G;Sony Xperia M2 LTE Blanco;1362;525900;489900;489900;489900;489900;489900;;;;;;;;;;;;;
4G;Sony Xperia M4 Aqua Blanco LTE;1542;685900;649900;668900;688900;759900;829900;;;;;;;;;;;;;
4G;Sony Xperia M4 Aqua Blanco LTE Bono BTS;1731;685900;649900;668900;688900;759900;829900;;;;;;;;;;;;;
4G;Sony Xperia M4 Aqua LTE;1541;685900;649900;668900;688900;759900;829900;;;;;;;;;;;;;
4G;Sony Xperia M4 Aqua LTE Bono BTS;1732;685900;649900;668900;688900;759900;829900;;;;;;;;;;;;;
4G;Sony Xperia M4 Aqua LTE Campaña Navidad;1679;685900;649900;668900;688900;759900;829900;;;;;;;;;;;;;
4G;Sony Xperia M5 LTE;1630;1492900;1456900;1500900;1543900;1631900;1782900;;;;;;;;;;;;;
4G;Sony Xperia T3 LTE;1427;634900;598900;614900;614900;614900;614900;;;;;;;;;;;;;
4G;Sony Xperia Z1 LTE;1210;888900;852900;955900;955900;955900;955900;;;;;;;;;;;;;
